Date,Q,SCA,T,P,Day,Relative Humidity,Wind speed,Wind direction,Snow depth
3/8/2001,1.8,347.8394981,-3.6105403,0.254510373,67,22.09,1.34,220.45,0
3/9/2001,1.8,347.1563015,-3.4924773,0.179724753,68,28.59,1.95,220.86,0
3/10/2001,1.8,346.4971371,-3.3234833,0.382901937,69,30.33,1.4,246.47,0
3/11/2001,1.8,345.9203564,-3.5360601,0,70,33.45,1.35,221.13,0
3/12/2001,1.94,345.4843111,-3.516811,0,71,31.81,1.62,211.32,0
3/13/2001,1.8,345.2473529,-3.2908859,0.832747936,72,31.55,1.72,224.19,0.000006
3/14/2001,1.8,345.2678334,-3.2094164,2.24446321,73,37.35,1.94,222.47,0.000003
3/15/2001,1.8,345.5892106,-3.3059986,0,74,50.09,3.43,229.51,0
3/16/2001,1.8,346.1953688,-2.35918997,0.087985531,75,30.26,2.35,242.18,0
3/17/2001,1.8,347.0552982,-2.47045665,0.110984579,76,20.91,2.49,225.85,0
3/18/2001,1.8,348.1379896,-2.31057753,0.181442559,77,24.96,1.7,240.03,0
3/19/2001,1.94,349.4124332,-1.28869868,0.542276323,78,24.18,1.44,244.53,0
3/20/2001,1.89,350.8476198,-1.0227824,2.79227281,79,32.41,2.8,234.7,0
3/21/2001,1.89,352.4125397,-0.9924991,10.5251436,80,46.16,2.83,228.89,0
3/22/2001,1.89,354.0761835,-3.753793,6.88780832,81,63.48,3.14,220.14,0.008015
3/23/2001,1.94,355.7805173,-2.44894671,0.029134719,82,53.64,2.9,229.03,0.010887
3/24/2001,1.94,357.3594094,-2.34210005,0.021990253,83,32.54,1.55,241.41,0.007565
3/25/2001,1.99,358.6197038,-1.1779376,0.193499818,84,34.01,2.24,218.04,0.005661
3/26/2001,1.99,359.3682445,-1.15605938,0.118546456,85,34.49,1.39,237.32,0.004232
3/27/2001,1.99,359.4118754,-0.5046284,0.005023228,86,37.5,1.75,237.6,0.003082
3/28/2001,1.99,358.5574406,-0.0823604,0.261060834,87,40.55,2.45,220.8,0.001895
3/29/2001,1.99,356.6117838,0.0083502,0.148805872,88,37.31,2.41,237.27,0.001297
3/30/2001,1.99,353.3817493,-0.514537,2.02561975,89,40.8,2.65,231.33,0.00153
3/31/2001,2.08,348.7755661,-0.3327795,2.73318052,90,55.08,3.62,219.71,0.001279
4/1/2001,2.13,343.107005,-1.966389415,0.03114401,91,62.77,3.98,212.3,0.001112
4/2/2001,2.08,336.7912218,-1.871993,0,92,38.72,2.03,217.48,0.00093
4/3/2001,2.08,330.2433725,-1.31462372,0,93,33.56,2.2,230.19,0.000743
4/4/2001,2.08,323.878613,-0.4248891,0,94,30.84,1.95,246.28,0.000574
4/5/2001,2.08,318.1120992,0.8738932,0.04018582,95,27.39,2.21,226.02,0.000432
4/6/2001,2.08,313.3589872,0.8620611,0.079366997,96,32.25,2.31,239.17,0.000347
4/7/2001,2.08,310.0344327,1.1643525,0.038162649,97,29.35,1.69,241.46,0.000231
4/8/2001,2.08,308.4457672,1.3010027,0.020092908,98,33.83,2.38,231.2,0.000159
4/9/2001,2.08,308.4690236,1.5618789,0.011023227,99,31.58,2.68,233.05,0.000122
4/10/2001,2.8,309.8724103,2.1273161,0.110723197,100,30.49,2.39,238.92,0.000081
4/11/2001,2.08,312.4241357,2.3053469,0.069059379,101,32.12,2.22,246.14,0.000113
4/12/2001,2.08,315.8924082,1.9194084,0.049787071,102,28.32,2.34,223.4,0.000084
4/13/2001,2.13,320.045436,0.465763,7.48424149,103,35.49,2.43,211.14,0.000235
4/14/2001,2.13,324.6514277,-0.1558275,0.629516304,104,62.83,3.84,204.81,0.000276
4/15/2001,2.13,329.4785916,-0.8367226,1.17619967,105,64.4,2.99,216.39,0.000681
4/16/2001,2.13,334.3020077,-0.3763575,0.814889073,106,62.32,3.37,219.62,0.000878
4/17/2001,2.13,338.9242428,-1.17761277,0.343197137,107,54.57,3.12,215.96,0.000449
4/18/2001,2.37,343.1547352,-1.3319077,1.13912213,108,64.18,3.67,213.18,0.000801
4/19/2001,2.43,346.8029235,-0.897365,0.04183859,109,56.28,3.23,226.95,0.000372
4/20/2001,2.43,349.6782459,0.3518547,0.007032519,110,49.07,3.12,225.19,0.000278
4/21/2001,2.53,351.590141,0.9049275,0.057012908,111,49.16,3.23,225.7,0.000208
4/22/2001,2.74,352.3480471,1.1823645,0.114872247,112,41.22,2.52,230.89,0.000158
4/23/2001,2.74,351.7614027,2.036143,0.036836151,113,25.95,1.18,283.05,0.000098
4/24/2001,2.91,349.7348083,2.2320133,0.044845898,114,34.84,2.24,226.12,0.000042
4/25/2001,3.15,346.5535134,2.4188168,8.91762733,115,44.21,2.69,233.38,0.000026
4/26/2001,3.15,342.5979297,1.9969411,9.68163395,116,45.44,3.16,226.66,0.000376
4/27/2001,3.38,338.2484689,1.9957346,8.33919525,117,39.25,2.67,240.58,0.000349
4/28/2001,3.38,333.8855426,2.6645793,15.2426691,118,39.94,3.13,223.58,0.000178
4/29/2001,3.38,329.8895624,3.1195391,13.4283228,119,47.33,2.65,240.85,0.000126
4/30/2001,3.7,326.6409402,2.6583051,1.83860242,120,50.25,2.33,225.34,0.000087
5/1/2001,3.03,324.5200874,2.3330317,7.92230558,121,54.93,1.73,244.85,0.000044
5/2/2001,4.03,323.7642227,0.8486492,1.27608144,122,59.66,3.03,211.66,0.000018
5/3/2001,4.03,324.0377922,1.46621,8.40192699,123,69.13,3.43,218.32,0.000027
5/4/2001,3.9,324.8620489,1.1977039,0,124,66.43,2.25,222.5,0.002949
5/5/2001,3.9,325.7582458,2.2762985,0.495777398,125,59.27,1.28,229.02,0.001937
5/6/2001,3.77,326.2476359,2.7712475,24.5515938,126,72.81,3.32,213.69,0.002383
5/7/2001,3.83,325.8514723,1.7267675,0.327777803,127,71.32,1.61,247.84,0.001594
5/8/2001,3.7,324.0910078,2.5896603,4.17069292,128,68.57,2.98,226.19,0.000404
5/9/2001,3.9,320.4874956,1.7530219,8.49256897,129,67.18,2.04,257.06,0.000995
5/10/2001,3.03,314.7497373,3.249205,1.0670718,130,63.61,1.71,250.05,0.001877
5/11/2001,3.09,307.33673,3.4797102,0.007981418,131,56,0.4,290.29,0.001064
5/12/2001,3.26,298.8950193,4.05089043,0.031985682,132,52.82,0.54,227.73,0.000225
5/13/2001,3.38,290.0711508,4.30568409,0.036918551,133,61.97,2.37,209.71,0.000034
5/14/2001,3.38,281.5116702,3.97867751,0.30112797,134,71.39,2.54,197.56,0.000092
5/15/2001,3.7,273.8631233,3.33892767,0.333072186,135,73,3.37,199.53,0.000138
5/16/2001,3.26,267.7720557,3.0517979,0.17865856,136,75.12,4.13,204.61,0.000038
5/17/2001,4.45,263.8850131,2.9671752,1.05177474,137,69.4,2.96,206.34,0.002749
5/18/2001,4.38,262.630921,3.1864267,0.010000191,138,65.29,2.84,216.63,0.0016
5/19/2001,3.15,263.5682248,3.3225512,1.17567515,139,67.12,2.7,218.08,0.00049
5/20/2001,3.15,266.0377496,3.74153387,1.36304796,140,65.15,3.16,210.6,0.000139
5/21/2001,3.15,269.3803205,3.46177016,0.386345357,141,69.64,3.33,205.46,0.000571
5/22/2001,3.51,272.9367628,3.74221122,0.379542649,142,66.89,3.44,210.46,0.000295
5/23/2001,3.51,276.0479016,4.250118163,1.55799222,143,67.15,3.22,219.19,0.000054
5/24/2001,5.19,278.0545621,4.46432846,8.37834454,144,68.54,3.8,214.34,0.000003
5/25/2001,4.17,278.2975694,3.87403618,12.0819407,145,64.33,3.23,221.55,0
5/26/2001,4.24,276.325208,3.37523547,3.84912157,146,68.63,3.46,221.99,0
5/27/2001,4.17,272.515599,3.67258639,0.301227748,147,70.37,2.83,223.29,0
5/28/2001,4.31,267.4543229,4.209199474,3.5430398,148,59.48,2.08,210.98,0.00132
5/29/2001,4.45,261.7269601,4.32682331,1.57065082,149,66.13,3.43,212.16,0.002034
5/30/2001,4.31,255.919091,4.42554095,1.32966459,150,63.39,2.99,211.51,0.001065
5/31/2001,4.31,250.6162961,4.66532281,0.413204789,151,66.95,2.22,225.88,0.000286
6/1/2001,4.45,246.4041558,4.61975328,0.6048823,152,63.03,2.21,216.33,0.000072
6/2/2001,4.59,243.8682505,5.3796457,30.2645168,153,69.1,2.7,204.57,0.000005
6/3/2001,4.59,243.4318604,4.9845803,18.2038956,154,78.72,3.89,216.31,0.000425
6/4/2001,4.59,244.8690646,4.78378725,9.51300526,155,75.53,3.23,205.18,0.000603
6/5/2001,4.59,247.7916418,5.2280772,12.6274643,156,75.7,3.83,205.34,0.000171
6/6/2001,4.45,251.811371,5.2664419,5.12349796,157,69.07,3.65,215.65,0.000027
6/7/2001,4.59,256.5400308,5.7177675,2.60234952,158,69.07,3.86,211.06,0.000002
6/8/2001,4.59,261.5894002,5.4024419,4.28884411,159,68.08,3.38,217.79,0.000001
6/9/2001,5.19,266.5712579,5.4195943,1.18164194,160,67.57,3.22,212.71,0
6/10/2001,5.34,271.0973828,6.1353608,4.89150906,161,69.25,3.1,217.17,0.000003
6/11/2001,5.19,274.8537955,6.1173664,8.43011379,162,71.71,1.33,191.79,0.000655
6/12/2001,5.19,277.8234847,6.9043641,56.9024963,163,71.66,2.18,187.27,0.000723
6/13/2001,4.38,280.0636805,6.6994777,21.8649712,164,75.7,2.28,225.36,0.000149
6/14/2001,4.38,281.6316136,6.0991157,19.2256737,165,74.72,3.19,210.35,0.000042
6/15/2001,4.38,282.5845142,6.1407074,10.5293999,166,78.27,3.32,214.28,0.000517
6/16/2001,4.38,282.9796127,6.5424452,10.891325,167,76.79,3.55,212.82,0.000573
6/17/2001,4.38,282.8741396,6.4886115,18.4123478,168,76.36,3.46,208.57,0.000111
6/18/2001,5.11,282.3253252,6.3625563,23.9876766,169,76.45,3.41,216.69,0.000038
6/19/2001,7.4,281.3903999,6.3643694,21.7316418,170,81.65,3.29,216.82,0.000002
6/20/2001,7.4,280.1265942,6.4367436,13.3498087,171,84.1,3.14,214.51,0.000002
6/21/2001,9.39,278.5911384,7.3397836,16.4887772,172,80.04,2.9,205.68,0.000002
6/22/2001,9.39,276.8412629,7.208123,17.1077557,173,77.31,3.31,205.82,0.000001
6/23/2001,10.7,274.9341981,6.480315,19.0185242,174,77.55,3.77,207.36,0
6/24/2001,9.39,272.9271744,6.7527974,16.8677311,175,83.03,3.36,213.28,0
6/25/2001,10.7,270.8774222,7.0049903,3.57112813,176,78.75,2.63,219.75,0
6/26/2001,10.9,268.842172,7.2464756,22.6944466,177,77.23,3.53,213.36,0
6/27/2001,9.71,266.878654,7.3273695,43.4076576,178,74.03,2.88,211.32,0
6/28/2001,9.71,265.0440987,7.5044829,42.7506866,179,81.19,1.55,199.4,0
6/29/2001,9.71,263.3957365,7.3484458,18.3647461,180,77.59,1.58,188.1,0
6/30/2001,9.71,261.9907978,7.8497028,28.8182011,181,73.64,1.92,202.46,0
7/1/2001,10.8,260.886513,7.6381539,21.3162079,182,72.72,1.32,197.73,0
7/2/2001,9.71,260.1401124,7.4575944,11.927803,183,72.55,2.64,207.91,0
7/3/2001,10.8,259.8088265,8.0767812,12.9145193,184,74.79,2.97,216.31,0
7/4/2001,9.71,259.9498857,7.8413073,48.058712,185,73.84,2.99,213.07,0
7/5/2001,9.71,260.6010909,7.9787249,4.08773518,186,67.68,3.02,220.86,0
7/6/2001,9.71,261.7225256,8.5605104,18.9786777,187,71.43,3.21,215.35,0
7/7/2001,8.67,263.2548437,8.4172634,18.3792038,188,71.76,2.61,213.94,0
7/8/2001,8.67,265.1386993,8.4259503,25.1911011,189,69.08,2.43,207.86,0
7/9/2001,8.67,267.3147463,8.5998613,30.459589,190,73.98,2.73,207.41,0
7/10/2001,9.71,269.7236387,8.0120611,36.9143028,191,73.26,3.29,209.48,0
7/11/2001,10.8,272.3060305,7.8018439,40.4137726,192,76.2,2.86,208.54,0
7/12/2001,10.8,275.0025758,7.9567522,17.8868332,193,75.47,3.26,209.36,0
7/13/2001,10.8,277.7539284,8.1826524,34.3185959,194,77.68,3.01,214.26,0
7/14/2001,12,280.5007425,6.9911146,25.6983986,195,82.73,1.89,224.62,0.000134
7/15/2001,12,283.1836719,6.4900093,15.7011967,196,87.36,2.69,206.44,0.000406
7/16/2001,12,285.7433708,6.8030944,16.4863377,197,81.22,2.94,211.44,0.000313
7/17/2001,12,288.120493,7.4701907,2.15553784,198,80.06,3.28,217.77,0.00009
7/18/2001,13.2,290.2556925,7.4948451,24.6188526,199,85.35,2.25,221.55,0.000008
7/19/2001,13.2,292.0896235,7.1360897,45.794136,200,85.62,2.48,215.05,0.001052
7/20/2001,13.2,293.5629397,7.615592,21.2738838,201,83.84,1.59,202.47,0.00086
7/21/2001,14.6,294.6335633,7.8899453,6.72526407,202,79.13,2.18,201.96,0.0001
7/22/2001,14.6,295.3284875,8.1333118,17.173521,203,80.09,2.67,205.62,0.000006
7/23/2001,14.6,295.6919737,8.0537314,9.84929943,204,83.96,3,212.33,0
7/24/2001,14.6,295.7682833,8.3578189,22.2547016,205,84.06,3.04,215.2,0
7/25/2001,13.2,295.6016775,8.1155516,29.6726952,206,84.38,2.97,217.2,0
7/26/2001,13.2,295.2364178,7.9184177,21.6780815,207,84.73,3.02,212.02,0.000005
7/27/2001,13.2,294.7167654,8.2645798,11.9680529,208,87.43,3.61,214.52,0.000004
7/28/2001,12,294.0869817,7.8494823,28.3643417,209,87.96,3.04,223.97,0.000001
7/29/2001,12,293.3913281,7.5653495,41.5671616,210,87.04,2.43,212.31,0
7/30/2001,12,292.6740658,7.2604027,32.1852493,211,85.05,2.9,211.98,0
7/31/2001,10.8,291.9794561,7.2635179,25.765913,212,88.31,2.9,223.45,0
8/1/2001,10.8,291.3517605,7.4548615,8.03620338,213,90.9,2.01,224.27,0
8/2/2001,10.8,290.8352403,7.3615081,33.0815811,214,86.73,2.74,212.03,0.000001
8/3/2001,10.8,290.4741567,7.7341231,12.6682606,215,83.85,2.79,205.36,0
8/4/2001,10.8,290.3127711,8.1379815,12.4880571,216,84.31,3.04,213.38,0
8/5/2001,10.8,290.3953449,7.7436865,11.7832041,217,78.79,3.08,209.42,0
8/6/2001,12,290.7439609,7.3083862,12.6991577,218,80.13,1.42,207.37,0.00007
8/7/2001,15,291.2919876,7.4508817,7.58609629,219,82.82,2.97,211.99,0.000264
8/8/2001,12,291.9506152,7.6800598,17.8948555,220,83.31,2.71,218.87,0.000285
8/9/2001,12,292.6310336,7.8637042,6.57683039,221,87.36,2.28,211.52,0.000089
8/10/2001,10.8,293.244433,8.112062,17.6410484,222,83.25,2.57,213.01,0.000013
8/11/2001,10.8,293.7020035,7.8306166,7.72129631,223,80.87,2.85,217.26,0
8/12/2001,19.1,293.9149351,7.4718001,41.3579979,224,82.78,2.64,220.77,0.000074
8/13/2001,10.8,293.7944178,7.7794036,10.2100887,225,84.24,2,213.35,0.000098
8/14/2001,10.8,293.2669946,8.647225,10.1389484,226,81.26,3,207.41,0.000012
8/15/2001,10.8,292.3206192,8.8505408,6.48636246,227,79.02,2.85,217.53,0
8/16/2001,12,290.9585984,8.8421469,6.44425011,228,83.91,3.41,219.92,0
8/17/2001,12,289.1842385,8.2653318,12.4331036,229,84.61,2.84,218.51,0
8/18/2001,15.3,287.0008464,7.6409059,21.8119698,230,83.25,2.01,211.8,0.000001
8/19/2001,9.71,284.4117286,7.6805811,7.61311102,231,83.98,2.73,208.62,0.000002
8/20/2001,9.71,281.4201916,7.8073017,10.5084019,232,82.64,2.32,203.1,0.00003
8/21/2001,9.71,278.0295422,7.2016676,20.6773052,233,84.58,2.74,218.33,0.000009
8/22/2001,10.8,274.3026279,6.3529921,22.8354034,234,92.12,2.89,207.62,0.000006
8/23/2001,10.8,270.5404605,6.2651003,7.73281097,235,89.32,2.19,203.41,0.000045
8/24/2001,10.8,267.1035929,7.0165443,4.09441614,236,89.95,2.63,206.02,0.000016
8/25/2001,9.71,264.3525778,7.5005737,3.00693703,237,82.86,2.13,212.82,0.000001
8/26/2001,9.71,262.6479681,7.8487287,4.10374832,238,84.31,2.6,212.77,0
8/27/2001,15,262.3503166,7.655612,27.3247223,239,86.87,2.52,219.6,0.00066
8/28/2001,9.71,263.8201762,7.1699898,6.00481939,240,85.98,2.36,216.83,0.000183
8/29/2001,9.71,267.4180996,7.4040192,2.25090075,241,88.03,3.04,218.3,0.000026
8/30/2001,9.71,273.3137751,7.2659628,4.3958931,242,84.24,2.2,209.83,0.000001
8/31/2001,14.6,280.9134326,7.1514457,20.5993233,243,84.9,1.82,209.1,0
9/1/2001,9.49,289.4324375,7.0290331,39.5720978,244,82.92,1.92,208.68,0.000103
9/2/2001,9.71,298.0861551,6.4779512,36.0533676,245,87.44,1.86,200.88,0.000078
9/3/2001,9.71,306.0899509,7.06745,1.99897683,246,87.06,2.26,207.52,0.000039
9/4/2001,9.71,312.6591902,6.9565797,8.65825081,247,88.06,2.22,215.84,0.000006
9/5/2001,8.67,317.0092383,6.1824533,13.8815479,248,88.17,2.75,206.57,0.000036
9/6/2001,8.67,318.3554606,6.5420969,9.66969681,249,89.27,2.71,211.07,0.000201
9/7/2001,8.67,316.1751946,6.422811,14.7753754,250,85.58,2.12,210.66,0.000124
9/8/2001,8.67,310.9936663,6.2552522,1.17378414,251,86.27,2.21,217.31,0.000037
9/9/2001,8.67,303.5980737,6.7142201,2.76780772,252,87.48,2.72,215.23,0.000005
9/10/2001,8.67,294.7756149,6.2270133,5.727458,253,88.93,2.88,218.46,0.000059
9/11/2001,9.6,285.313488,6.3034234,1.20266926,254,89.62,2.03,201.23,0.000137
9/12/2001,9.6,275.998891,5.6362001,21.0571289,255,87.65,2.32,202.69,0.000109
9/13/2001,8.56,267.6190222,5.9403157,7.07455158,256,88.2,2.33,199.6,0.000177
9/14/2001,8.56,260.9610794,5.6496692,0.535292327,257,83.85,2,190.83,0.000048
9/15/2001,8.26,256.6027712,5.5736459,8.07782364,258,77.4,2.1,196.99,0.000047
9/16/2001,7.78,254.2838473,5.7353606,8.050807,259,82.7,2.21,201.47,0.000024
9/17/2001,7.78,253.5345677,5.9981532,6.99702311,260,87.51,2.29,221.97,0.000017
9/18/2001,7.03,253.8851927,5.6687689,0,261,80.28,1.85,216.03,0.000012
9/19/2001,7.03,254.8659821,5.5327267,0,262,63.84,1.08,212.32,0
9/20/2001,7.03,256.0071961,5.6160818,0.481895804,263,66.38,1.16,201.5,0
9/21/2001,7.03,256.8390949,5.8122699,0.25166288,264,69.48,1.37,212.75,0
9/22/2001,7.03,256.8919384,6.1662752,5.06803608,265,70.13,1.47,207.43,0
9/23/2001,7.03,255.8230562,6.4155789,8.05316448,266,73.97,1.62,217.08,0
9/24/2001,6.68,253.7980557,6.1177598,12.499157,267,77.65,1.5,216.09,0
9/25/2001,6.5,251.1096136,6.165036,25.2590904,268,79.65,1.63,226.78,0.000001
9/26/2001,6.5,248.0504068,6.0647474,0.948848069,269,83.9,1.34,229.79,0
9/27/2001,5.42,244.913112,5.5584551,0.167178735,270,74.46,1.63,217.52,0
9/28/2001,5.42,241.9904061,5.5306167,0.108746819,271,74.48,1.44,221.71,0
9/29/2001,5.34,239.5749658,5.953698,3.37123561,272,69.98,1.58,221.01,0
9/30/2001,5.19,237.9594679,5.3330027,6.92454863,273,78.25,1.48,219.87,0
10/1/2001,5.04,237.3481255,4.38293731,22.1956654,274,87.56,1.08,195.95,0.000001
10/2/2001,4.96,237.591296,4.25031164,13.4508104,275,82.51,1.56,210.8,0.000001
10/3/2001,4.88,238.4508732,4.72845209,4.57105732,276,84.38,2.11,215.74,0
10/4/2001,4.45,239.6887507,3.65660827,27.1768837,277,87.68,1.72,200.3,0.000008
10/5/2001,4.31,241.0668223,4.91024777,2.95057559,278,87.06,1.85,216.67,0.000677
10/6/2001,4.24,242.3469817,4.313031631,2.52578735,279,75.79,1.8,219.17,0.000415
10/7/2001,4.24,243.2911225,4.78257374,9.95988369,280,76.81,1.76,232.01,0.000117
10/8/2001,4.17,243.6611386,4.78531245,0.801317453,281,78.73,1.55,241.16,0.000028
10/9/2001,4.17,243.2871631,4.62529087,4.45644569,282,79.94,1.72,235.97,0.000004
10/10/2001,4.17,242.2722881,4.73523493,3.01641035,283,74.17,1.86,225.58,0.000001
10/11/2001,4.17,240.7878451,4.58485051,0.268104434,284,62.37,1.95,215.34,0.000001
10/12/2001,4.17,239.0051655,3.62153781,3.26170516,285,47.37,1.81,215.82,0
10/13/2001,4.17,237.095581,3.91850786,6.45004749,286,59.38,1.83,216.63,0
10/14/2001,4.17,235.2304229,2.9826339,0.708692193,287,52.85,1.97,213.07,0
10/15/2001,3.9,233.5810229,3.0083048,0.092564426,288,49.44,1.34,214.33,0
10/16/2001,3.9,232.3187126,2.7839825,0.475223064,289,54.4,1.53,219.32,0
10/17/2001,3.9,231.5660317,2.3003499,1.53376937,290,50.67,1.96,208.1,0
10/18/2001,3.83,231.2503537,1.6034029,0.107497066,291,64.58,1.6,222.37,0
10/19/2001,3.77,231.2502604,1.3156691,0.107497066,292,66.89,1.43,232.73,0
10/20/2001,3.77,231.4443335,1.2839467,0.028864177,293,69.76,1.41,218.97,0
10/21/2001,3.77,231.7111548,1.7869761,0,294,75.38,1.9,216.38,0
10/22/2001,3.77,231.9293061,2.0491052,0,295,61.89,1.67,208.81,0
10/23/2001,3.83,231.9773692,1.9857895,1.23102856,296,66.15,1.44,217.74,0
10/24/2001,3.64,231.7339258,1.6794339,0.08261127,297,71.06,0.93,218.05,0
10/25/2001,3.57,231.1271746,1.7119289,0,298,71.72,1.53,207.33,0
10/26/2001,3.57,230.2837812,1.262876,0.049227629,299,65.9,0.47,173.77,0
10/27/2001,3.57,229.3800284,1.5128129,0.127400503,300,77.71,1.37,202.56,0
